id,week,ro_number,tech_initials,build_type,date_reviewed,labor_hours_billed,labor_hours_correct,parts_cost,total_estimated_cost,high_cost_flag,notes,labor_rate,labor_cost_billed,labor_cost_correct,cost_overcharge,issue_severity,action_quality,severity_score,op_risk_bucket,cost_per_hour_over,tech_incident_count,tech_cost_share,category_frequency,category_Incorrect Labor Time,category_Overlapping Labor,category_Unnecessary Repair,action_taken_Coaching Only,action_taken_Declined,action_taken_No Action,operation_group_Alignment,operation_group_Brakes,operation_group_Diagnostics,operation_group_Electrical,operation_group_Engine,operation_group_Interior,operation_group_Maintenance,operation_group_Noise / Rattle,operation_group_Steering,operation_group_Suspension,operation_group_TPMS,tpi
1,5,2343334,DF,Production,2/2/2025,2.2,0.4,221.68,419.68,No,Unnecessary Repair on Steering work; review labor guide and WIP usage.,90,198,36,162,High,Unaddressed,3,Low-Risk,405.0,12,0.06946264744429882,47,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,40.5
2,2,2343153,RL,Production,1/12/2025,2.9,1.1,63.04,324.04,No,Added separate labor to remove under shield in addition to oil change line.,90,261,99,162,High,Unaddressed,3,Low-Risk,147.27272727272725,16,0.08453473132372215,47,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,30.375
3,4,2343266,KG,Production,1/23/2025,4.3,2.5,339.02,726.02,Yes,High Cost Repair on Suspension work; review labor guide and WIP usage.,90,387,225,162,High,Corrected,3,Low-Risk,64.8,13,0.07667103538663171,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,37.38461538461539
4,5,2343305,CM,Retail,1/29/2025,3.7,1.9,448.49,781.49,Yes,Full R&R door panel labor used instead of R&I for switch access (2.1/0.9).,90,333,171,162,High,Corrected,3,High-Risk,85.26315789473685,10,0.05701179554390563,72,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,48.6
5,7,2343469,JD,Production,2/14/2025,4.0,2.3,254.31,614.31,No,Used full R&R rotor and pad labor instead of combo labor (2.5/1.1).,90,360,207,153,High,Corrected,3,High-Risk,66.52173913043478,7,0.03407601572739188,72,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,65.57142857142857
6,2,2343143,MM,Retail,1/9/2025,4.2,2.5,411.69,789.69,Yes,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,378,225,153,High,Unaddressed,3,Low-Risk,61.2,4,0.019003931847968544,52,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,114.75
7,2,2343151,JG,Production,1/9/2025,2.6,0.9,313.21,547.21,Yes,High Cost Repair on Alignment work; review labor guide and WIP usage.,90,234,81,153,High,Unaddressed,3,Low-Risk,170.0,10,0.04849279161205767,30,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,45.9
8,7,2343478,CH,Production,2/18/2025,3.4,1.7,416.51,722.51,Yes,Retail diagnostic labor (1.7/1.4) used instead of production WIP line.,90,306,153,153,High,Unaddressed,3,Low-Risk,90.0,12,0.05832241153342071,72,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,38.25
9,8,2343574,LP,Production,2/23/2025,3.1,1.4,329.66,608.66,No,Added separate labor to remove under shield in addition to oil change line.,90,279,126,153,High,Corrected,3,Low-Risk,109.28571428571429,10,0.04980340760157274,47,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,45.9
10,1,2343001,CM,Retail,1/6/2025,1.9,0.3,329.4,500.4,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,171,27,144,High,Corrected,3,High-Risk,480.0,10,0.05701179554390563,52,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,43.2
11,1,2343069,FF,Production,1/2/2025,3.7,2.1,143.1,476.1,No,Incorrect Labor Time on Engine work; review labor guide and WIP usage.,90,333,189,144,High,Corrected,3,Low-Risk,68.57142857142857,12,0.0727391874180865,72,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,36.0
12,3,2343213,RN,Retail,1/20/2025,1.9,0.3,407.41,578.41,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,171,27,144,High,Corrected,3,High-Risk,480.0,8,0.028833551769331587,52,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,54.0
13,6,2343368,KM,Production,2/6/2025,3.3,1.7,230.25,527.25,No,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,297,153,144,High,Corrected,3,Low-Risk,84.70588235294117,11,0.057667103538663174,52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,39.27272727272727
14,7,2343494,KM,Retail,2/18/2025,2.1,0.5,163.08,352.08,No,Retail diagnostic labor (2.2/1.2) used instead of production WIP line.,90,189,45,144,High,Corrected,3,Low-Risk,288.0,11,0.057667103538663174,72,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,39.27272727272727
15,7,2343482,FF,Retail,2/15/2025,4.4,2.9,56.1,452.1,No,Incorrect Labor Time on TPMS work; review labor guide and WIP usage.,90,396,261,135,High,Other,3,Low-Risk,46.55172413793104,12,0.0727391874180865,72,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,33.75
16,5,2343308,RL,Production,2/3/2025,4.3,2.8,111.31,498.31,No,Unnecessary Repair on Engine work; review labor guide and WIP usage.,90,387,252,135,High,Corrected,3,Low-Risk,48.214285714285715,16,0.08453473132372215,47,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,25.3125
17,1,2343072,KG,Production,1/1/2025,2.1,0.6,387.33,576.33,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,189,54,135,High,Unaddressed,3,High-Risk,225.0,13,0.07667103538663171,30,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,31.153846153846153
18,2,2343112,GM,Production,1/14/2025,3.1,1.6,249.84,528.84,No,Overlapping Labor on Suspension work; review labor guide and WIP usage.,90,279,144,135,High,Corrected,3,Low-Risk,84.375,5,0.026867627785058978,52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,81.0
19,3,2343204,CH,Production,1/19/2025,2.4,0.9,296.41,512.41,No,Unnecessary Repair on Steering work; review labor guide and WIP usage.,90,216,81,135,High,Unaddressed,3,Low-Risk,150.0,12,0.05832241153342071,47,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,33.75
20,5,2343318,SS,Production,2/2/2025,2.5,1.0,248.36,473.36,Yes,High cost AC repair compared to guide; compressor and condenser replaced together.,90,225,90,135,High,Other,3,Low-Risk,135.0,6,0.03145478374836173,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,67.5
21,6,2343385,CS,Retail,2/6/2025,1.8,0.3,272.6,434.6,No,Full R&R door panel labor used instead of R&I for switch access (1.1/0.8).,90,162,27,135,High,Corrected,3,High-Risk,450.0,7,0.039318479685452164,72,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,57.857142857142854
22,8,2343528,JG,Retail,2/19/2025,3.3,1.8,373.6,670.6,Yes,High Cost Repair on Electrical work; review labor guide and WIP usage.,90,297,162,135,High,Unaddressed,3,High-Risk,75.0,10,0.04849279161205767,30,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,40.5
