id,week,ro_number,tech_initials,category,action_taken,operation_group,build_type,date_reviewed,labor_hours_billed,labor_hours_correct,parts_cost,total_estimated_cost,high_cost_flag,notes,labor_rate,labor_cost_billed,labor_cost_correct,cost_overcharge,issue_severity,action_quality,severity_score,op_risk_bucket
1,5,2343334,DF,Unnecessary Repair,No Action,Steering,Production,2/2/2025,2.2,0.4,221.68,419.68,No,Unnecessary Repair on Steering work; review labor guide and WIP usage.,90,198,36,162,High,Unaddressed,3,Low-Risk
2,2,2343153,RL,Unnecessary Repair,No Action,Maintenance,Production,1/12/2025,2.9,1.1,63.04,324.04,No,Added separate labor to remove under shield in addition to oil change line.,90,261,99,162,High,Unaddressed,3,Low-Risk
3,4,2343266,KG,High Cost Repair,Adjusted Labor,Suspension,Production,1/23/2025,4.3,2.5,339.02,726.02,Yes,High Cost Repair on Suspension work; review labor guide and WIP usage.,90,387,225,162,High,Corrected,3,Low-Risk
4,5,2343305,CM,Incorrect Labor Time,Declined,Electrical,Retail,1/29/2025,3.7,1.9,448.49,781.49,Yes,Full R&R door panel labor used instead of R&I for switch access (2.1/0.9).,90,333,171,162,High,Corrected,3,High-Risk
5,7,2343469,JD,Incorrect Labor Time,Adjusted Labor,Brakes,Production,2/14/2025,4,2.3,254.31,614.31,No,Used full R&R rotor and pad labor instead of combo labor (2.5/1.1).,90,360,207,153,High,Corrected,3,High-Risk
6,2,2343143,MM,Overlapping Labor,No Action,TPMS,Retail,1/9/2025,4.2,2.5,411.69,789.69,Yes,Overlapping Labor on TPMS work; review labor guide and WIP usage.,90,378,225,153,High,Unaddressed,3,Low-Risk
7,2,2343151,JG,High Cost Repair,No Action,Alignment,Production,1/9/2025,2.6,0.9,313.21,547.21,Yes,High Cost Repair on Alignment work; review labor guide and WIP usage.,90,234,81,153,High,Unaddressed,3,Low-Risk
8,7,2343478,CH,Incorrect Labor Time,No Action,Maintenance,Production,2/18/2025,3.4,1.7,416.51,722.51,Yes,Retail diagnostic labor (1.7/1.4) used instead of production WIP line.,90,306,153,153,High,Unaddressed,3,Low-Risk
9,8,2343574,LP,Unnecessary Repair,Adjusted Labor,Maintenance,Production,2/23/2025,3.1,1.4,329.66,608.66,No,Added separate labor to remove under shield in addition to oil change line.,90,279,126,153,High,Corrected,3,Low-Risk
10,1,2343001,CM,Overlapping Labor,Adjusted Labor,Brakes,Retail,1/6/2025,1.9,0.3,329.4,500.4,No,Machine rotor and resurface pads written as separate lines instead of combo operation.,90,171,27,144,High,Corrected,3,High-Risk
